Title;Acronym;Description;Access URL;Included in data catalogue;Type;Has representation language;Format;Theme;Licence;Version;Source accessed on
MEDIN ecosystem service types;M11;Terms used to classify the conditions and processes through which natural ecosystems sustain and fulfil human life.;http://vocab.nerc.ac.uk/collection/M11/current/;NERC;Glossary;SKOS;RDF/XML, Turtle, JSON-LD;All;CC BY 4.0;v2;2023-07-04
Type of sample collected during a geotechnical investigation;M17;Terms used to classify types of samples collected by marine engineers during geotechnical site investigations in the marine environment.;http://vocab.nerc.ac.uk/collection/M17/current/;NERC;Glossary;SKOS;RDF/XML, Turtle, JSON-LD;Marine;CC BY 4.0;v1;2023-07-06
Climate and Forecast Attribute Names;P31;Terms used to define the recognised metadata attributes for the description of CF-compliant data stored in NetCDF files.;http://vocab.nerc.ac.uk/collection/P31/current/;NERC;Glossary;SKOS;RDF/XML, Turtle, JSON-LD;Marine;CC BY 4.0;v1;2023-06-29
SeaVoX Vertical Co-ordinate Coverages;L13;Terms used to describe data coverage over the vertical (z) co-ordinate.;http://vocab.nerc.ac.uk/collection/L13/current/;NERC;Glossary;SKOS;RDF/XML, Turtle, JSON-LD;Marine;CC BY 4.0;v5;2023-07-05
The Crown Estate Renewable Energy Development Areas;M03;Terms used to describe different areas within an offshore renewable energy development.;http://vocab.nerc.ac.uk/collection/M03/current/;NERC;Glossary;SKOS;RDF/XML, Turtle, JSON-LD;Marine;CC BY 4.0;v1;2023-07-06
The Crown Estate Renewable Energy Development Phases;M04;Terms used to describe different development phases of an offshore renewable energy development.;http://vocab.nerc.ac.uk/collection/M04/current/;NERC;Glossary;SKOS;RDF/XML, Turtle, JSON-LD;Marine;CC BY 4.0;v1;2023-07-06
SensorML History Event Types;W03;Terms used to describe events or operations that have taken place during the life of an observation system (e.g. a sensor, a platform, an instrument, a network).;http://vocab.nerc.ac.uk/collection/W03/current/;NERC;Glossary;SKOS;RDF/XML, Turtle, JSON-LD;All;CC BY 4.0;v2;2023-07-05
NETMAR aggregation parameters;P25;Terms used to describe phenomena within the NETMAR project at a granularity level suitable for labelling data aggregations or assessing whether the parameter is appropriate as an input to a given WPS.;http://vocab.nerc.ac.uk/collection/P25/current/;NERC;Thesaurus;SKOS;RDF/XML, Turtle, JSON-LD;Biosphere-Marine;CC BY 4.0;v5;2023-07-04
BODC parameter semantic model physical entity compound names;S29;Terms used to describe physical entities in the BODC Parameter Usage Vocabulary;http://vocab.nerc.ac.uk/collection/S29/current/;NERC;Thesaurus;SKOS;RDF/XML, Turtle, JSON-LD;Atmosphere-Marine;CC BY 4.0;v74;2023-06-29
Type of geotechnical investigation carried out at a site;M16;Terms used to describe techniques used by marine engineers to investigate marine earth materials. Used in the MEDIN Geotechnical Data Guideline to categorise what type of investigations are carried out at a particular location of interest.;http://vocab.nerc.ac.uk/collection/M16/current/;NERC;Glossary;SKOS;RDF/XML, Turtle, JSON-LD;Marine;CC BY 4.0;v1;2023-07-06
MEDIN ecosystem valuation methods;M10;Terms used to describe techniques used to assess the socio-economic value of an ecosystem.;http://vocab.nerc.ac.uk/collection/M10/current/;NERC;Glossary;SKOS;RDF/XML, Turtle, JSON-LD;All;CC BY 4.0;v1;2023-07-04
Climate and Forecast Area Types;P29;Terms used to describe the characteristics of regions of the Earth's Surface or their representation in a numerical simulation in the CF metadata conventions for data stored in NetCDF.;http://vocab.nerc.ac.uk/collection/P29/current/;NERC;Glossary;SKOS;RDF/XML, Turtle, JSON-LD;Atmosphere;CC BY 4.0;v10;2023-06-29
BODC parameter semantic model component names;S01;Terms used to describe the information entities that are combined in the BODC semantic model to produce a phenomenon description.;http://vocab.nerc.ac.uk/collection/S01/current/;NERC;Thesaurus;SKOS;RDF/XML, Turtle, JSON-LD;All;CC BY 4.0;v6;2023-06-29
SeaDataNet depth measurement reference planes;L11;Terms used to describe the zero point for vertical co-ordinate reference systems (datums).;http://vocab.nerc.ac.uk/collection/L11/current/;NERC;Glossary;SKOS;RDF/XML, Turtle, JSON-LD;Geosphere-Marine;CC BY 4.0;v10;2023-07-05
SeaDataNet Measurement Periodicity Categories;L03;Terms used to express a classification of measurement periodicity in the SeaDataNet project.;http://vocab.nerc.ac.uk/collection/L03/current/;NERC;Glossary;SKOS;RDF/XML, Turtle, JSON-LD;All;CC BY 4.0;v3;2023-07-05
SeaVoX Sampling and Observation Platform Event Actions;EL1;Terms used to identify actions performed on sampling and observation platforms. This vocabulary is the result of an harmonisation exercise between the Eurofleets Automatic Reporting System (EARS) ontology and the Rolling Deck to Repository (R2R) project, for research vessel event logs. The terms it contains should be applicable to any sampling or observation platforms.;http://vocab.nerc.ac.uk/collection/EL1/current/;NERC;Glossary;SKOS;RDF/XML, Turtle, JSON-LD;All;CC BY 4.0;v2;2023-07-05
SeaVoX Sampling and Observation Platform Event Processes;EL2;Terms used to identify processes performed on sampling and observation platforms. This vocabulary is the result of an harmonisation exercise between the Eurofleets Automatic Reporting System (EARS) ontology and the Rolling Deck to Repository (R2R) project, for research vessel event logs. The terms it contains should be applicable to any sampling or observation platforms.;http://vocab.nerc.ac.uk/collection/EL2/current/;NERC;Glossary;SKOS;RDF/XML, Turtle, JSON-LD;All;CC BY 4.0;v1;2023-07-05
Climate and Forecast Standardized Region Names;P30;Terms used to label regions of the Earth's Surface or their representation in a numerical simulation in the CF metadata conventions for data stored in NetCDF.;http://vocab.nerc.ac.uk/collection/P30/current/;NERC;Gazetteer;SKOS;RDF/XML, Turtle, JSON-LD;Marine;CC BY 4.0;v4;2023-06-29
Climate Science Modelling Language supported feature types;N03;Terms used to specify the feature types available for coverages in the Climate Science Modelling Language (CSML).;http://vocab.nerc.ac.uk/collection/N03/current/;NERC;Glossary;SKOS;RDF/XML, Turtle, JSON-LD;Atmosphere-Geosphere-Marine;CC BY 4.0;v1;2023-06-29
HELCOM 'HUB' Underwater Biotope and Habitat Classification System;M23;The HELCOM Underwater biotope and habitat classification system (HELCOM HUB) provides a framework for defining biotopes in the whole Baltic Sea. Defining biotopes by the same split-rules, enables comparison of the biotopes in different regions of the Baltic Sea (see http://www.helcom.fi/baltic-sea-trends/biodiversity/helcom-hub).;http://vocab.nerc.ac.uk/collection/M23/current/;NERC;Glossary;SKOS;RDF/XML, Turtle, JSON-LD;Marine;CC BY 4.0;v1;2023-07-03
JNCC standard list of human activities in the marine environment;M13;The standard list activities carried out by humans to manage the coastal environment, as defined by the Joint Nature Conservation Committee (JNCC);http://vocab.nerc.ac.uk/collection/M13/current/;NERC;Glossary;SKOS;RDF/XML, Turtle, JSON-LD;All;CC BY 4.0;v2;2023-07-03
OSPAR list of themes of defined pressures on the marine environment;M15;Themes under which defined pressures in M14 are categorised by the Convention for the Protection of the Marine Environment for the North-East Atlantic (OSPAR) International Correspondence Group on Cumulative Effects (ICG-C) and distributed by the Joint Nature Conservation Committee (JNCC);http://vocab.nerc.ac.uk/collection/M15/current/;NERC;Glossary;SKOS;RDF/XML, Turtle, JSON-LD;All;CC BY 4.0;v2;2023-07-05
NETMAR Oceanography Thesaurus;NETMAR_OCEAN;Thesaurus centred on parameter descriptions from the BODC PUV and CF Standard Names mapping to parameter discovery, units, instrument, platform, project and coverage concepts. Underpins discovery and semantic service chain validation for the NETMAR sea ice and oceanography pilots.;http://vocab.nerc.ac.uk/scheme/NETMAR_OCEAN/current/;NERC;Thesaurus;SKOS;RDF/XML, Turtle, JSON-LD;All;CC BY 4.0;v92;2023-07-04
ISO19119 geographic service taxonomy;ISO_GST;Thesaurus comprising a collection of categories (top concepts) and sub-categories developed by ISO to classify services that display or process spatial data.;http://vocab.nerc.ac.uk/scheme/ISO_GST/current/;NERC;Thesaurus;SKOS;RDF/XML, Turtle, JSON-LD;Geosphere;CC BY 4.0;v1;2023-07-03
Irish Marine Data Atlas Coastal Erosion Thesaurus;MIDA;Thesaurus containing terms used for markup and discovery by MIDA in association with the topic of coastal erosion;http://vocab.nerc.ac.uk/scheme/MIDA/current/;NERC;Thesaurus;SKOS;RDF/XML, Turtle, JSON-LD;Biosphere-Marine;CC BY 4.0;v1;2023-07-03
International Coastal Atlas Network Coastal Erosion Discovery Thesaurus;ICANDIS;Thesaurus of discovery terms that may be mapped to terms used to mark up atlas component data or metadata.;http://vocab.nerc.ac.uk/scheme/ICANDIS/current/;NERC;Thesaurus;SKOS;RDF/XML, Turtle, JSON-LD;Biosphere-Marine;CC BY 4.0;v1;2023-07-03
Wisconsin Coastal Atlas Thesaurus;WCATHES;Thesaurus of terms used in marking up the Wisconsin Coastal Atlas;http://vocab.nerc.ac.uk/scheme/WCATHES/current/;NERC;Thesaurus;SKOS;RDF/XML, Turtle, JSON-LD;Geosphere-Marine;CC BY 4.0;v2;2023-07-06
Argo float cycle timing variables;RTV;Timing variables representing stages of an Argo float profiling cycle, most of which are associated with a trajectory measurement code ID listed in NVS collection 'R15';http://vocab.nerc.ac.uk/collection/RTV/current/;NERC;Glossary;SKOS;RDF/XML, Turtle, JSON-LD;Marine;CC BY 4.0;v1;2023-06-29
EDIOS permitted sampling interval units;L26;Units of measure (P06 subset) that may be used for sampling intervals in the EDIOS metadata schema. Required to prevent times with units of kilograms!;http://vocab.nerc.ac.uk/collection/L26/current/;NERC;Glossary;SKOS;RDF/XML, Turtle, JSON-LD;All;CC BY 4.0;v1;2023-06-30
SeaDataNet Sensor Web Enablement and SensorML type vocabulary;W01;Vocabulary in support of SeaDataNet's implementation of OGC Sensor Web Enablement. This is the top level vocabulary with many narrower concepts from other vocabularies.;http://vocab.nerc.ac.uk/collection/W01/current/;NERC;Thesaurus;SKOS;RDF/XML, Turtle, JSON-LD;Marine;CC BY 4.0;v0;2023-07-05
World Meteorological Organisation voluntary observing ship category;C31;WMO ship type codes used to classify voluntary observing ships. Source: [WMO No.47 - International List of Selected, Supplementary and Auxiliary Ships](http://www.wmo.int/pages/prog/www/ois/pub47/pub47-home.htm).;http://vocab.nerc.ac.uk/collection/C31/current/;NERC;Glossary;SKOS;RDF/XML, Turtle, JSON-LD;Marine;CC BY 4.0;v0;2023-07-06
SeaDataNet sea areas;C16;Sea area terms from the IHB(1953) list plus additional terms added under SeaDataNet governance.;http://vocab.nerc.ac.uk/collection/C16/current/;NERC, ARDC;Gazetteer;SKOS;RDF/XML, Turtle, JSON-LD;Geosphere-Marine;CC BY 4.0;v9;2023-07-05
NASA Global Change Master Directory Science keywords Thesaurus;GCMD;Term level terms from the Science Keywords from Olsen L.M. et. al (2006) NASA/GCMD Earth Science Keywords Version 5.3.3.;http://vocab.nerc.ac.uk/collection/P13/current/;NERC, ARDC;Thesaurus;SKOS;RDF/XML, JSON-LD, N-Triples, Turtle, Notation3, N-Quads, RDF/JSON, TriX, TriG, Sesame Binary RDF;Geosphere;MIT License;Not specified;2023-07-04
BODC Parameter Usage Vocabulary;P01;Terms built using the BODC parameter semantic model designed to describe individual measured phenomena. May be used to mark up sets of data such as a NetCDF array or spreadsheet column.;http://vocab.nerc.ac.uk/collection/P01/current/;NERC, ARDC;Thesaurus;SKOS;RDF/XML, Turtle, JSON-LD;All;CC BY 4.0;v1145;2023-06-29
SeaDataNet Parameter Discovery Vocabulary;P02;Terms describing fine-grained related groups of measurement phenomena designed to be used in dataset discovery interfaces.;http://vocab.nerc.ac.uk/collection/P02/current/;NERC, ARDC;Thesaurus;SKOS;RDF/XML, Turtle, JSON-LD;All;CC BY 4.0;120;2023-07-05
SeaVoX Device Catalogue;L22;Terms for distinct sampling or measuring devices that may be identified in the real world in terms of manufacturer and model number.;http://vocab.nerc.ac.uk/collection/L22/current/;NERC, ARDC;Thesaurus;SKOS;RDF/XML, Turtle, JSON-LD;All;CC BY 4.0;v626;2023-07-05
MEDATLAS Parameter Usage Vocabulary;P09;Terms under the content governance of SISMER used to describe measured phenomena within the MEDATLAS project.;http://vocab.nerc.ac.uk/collection/P09/current/;NERC, ARDC;Thesaurus;SKOS;RDF/XML, Turtle, JSON-LD;Marine;CC BY 4.0;v73;2023-07-04
SeaDataNet device categories;L05;Terms used to classify groups of sensors, instruments, sources of algorithmically computed data (numerical models) or samplers (collectors of water, SPM, sediment, rock, air or biota samples).;http://vocab.nerc.ac.uk/collection/L05/current/;NERC, ARDC;Thesaurus;SKOS;RDF/XML, Turtle, JSON-LD;All;CC BY 4.0;v86;2023-07-05
SeaDataNet Parameter Disciplines;P08;Terms used to classify SeaDataNet Agreed Parameter Groups to provide topic/theme level terms in a hierarchical parameter discovery interface.;http://vocab.nerc.ac.uk/collection/P08/current/;NERC, ARDC;Subject heading;SKOS;RDF/XML, Turtle, JSON-LD;All;CC BY 4.0;v5;2023-07-05
Activity purpose categories;C34;Terms used to specify why an activity was undertaken.;http://vocab.nerc.ac.uk/collection/C34/current/;NERC, ARDC;Glossary;SKOS;RDF/XML, Turtle, JSON-LD;All;CC BY 4.0;v4;2023-06-28
BODC-approved data storage units;P06;Terms approved for use by BODC to describe the measurement units for data held in its repositories.;http://vocab.nerc.ac.uk/collection/P06/current/;NERC, ARDC, I-ADOPT;Thesaurus;SKOS;RDF/XML, Turtle, JSON-LD;All;CC BY 4.0;v139;2023-06-29
Climate and Forecast Standard Names;P07;Terms used for definitive but not necessarily comprehensive descriptions of measured phenomena in the CF conventions (a content standard for data stored in NetCDF).;http://vocab.nerc.ac.uk/collection/P07/current/;NERC, ARDC, I-ADOPT;Glossary;SKOS;RDF/XML, Turtle, JSON-LD;Atmosphere;CC BY 4.0;v81;2023-06-29
BODC parameter semantic model matrices;S26;Terms used to describe the medium in which a measurement was made in the semantic model that underpins the BODC parameter discovery vocabulary;http://vocab.nerc.ac.uk/collection/S26/current/;NERC, ARDC, I-ADOPT;Thesaurus;SKOS;RDF/XML, Turtle, JSON-LD;All;CC BY 4.0;v36;2023-06-29
International Coastal Atlas Network Coastal Erosion Global Thesaurus;A01;Terms used at all hierarchical levels in the ICAN global thesaurus for coastal erosion. Terms used to populate drop-down lists in discovery portals.;http://vocab.nerc.ac.uk/collection/A01/current/;NERC, BARTOC;Glossary;SKOS;RDF/XML, Turtle, JSON-LD;Geosphere-Marine;CC BY 4.0;v1;2023-07-03
BODC parameter semantic model biological entity sex category terms;S10;Controlled vocabulary defining terms used to refer to a biological entity sex category (part of the what theme) in the BODC parameter semantic model.;http://vocab.nerc.ac.uk/collection/S10/current/;NERC, I-ADOPT;Glossary;SKOS;RDF/XML, Turtle, JSON-LD;Biosphere;CC BY 4.0;v2;2023-06-29
BODC semantic model sphere phase names;S23;Controlled vocabulary defining the terms for phase (dissolved, particulate etc.) within a sphere (SWEET EarthRealm) in the BODC parameter semantic model. Part of the where theme.;http://vocab.nerc.ac.uk/collection/S23/current/;NERC, I-ADOPT;Glossary;SKOS;RDF/XML, Turtle, JSON-LD;Atmosphere-Geosphere-Marine;CC BY 4.0;v7;2023-07-04
BODC parameter semantic model parameter statistic;S07;Controlled vocabulary defining the terms that may be used for a parameter statistic (part of the what theme) in the BODC parameter semantic model.;http://vocab.nerc.ac.uk/collection/S07/current/;NERC, I-ADOPT;Categorisation scheme;SKOS;RDF/XML, Turtle, JSON-LD;All;CC BY 4.0;v14;2023-06-29
BODC parameter semantic model physical entity names;S18;Controlled vocabulary defining the terms that may be used for a physical entity (part of the what theme) in the BODC parameter semantic model.;http://vocab.nerc.ac.uk/collection/S18/current/;NERC, I-ADOPT;Glossary;SKOS;RDF/XML, Turtle, JSON-LD;Geosphere;CC BY 4.0;v45;2023-06-29
BODC parameter semantic model analytical method entity descriptions;S04;Controlled vocabulary defining the terms that may be used for an analytical method entity (part of the how theme) in the BODC parameter semantic model.;http://vocab.nerc.ac.uk/collection/S04/current/;NERC, I-ADOPT;Glossary;SKOS;RDF/XML, Turtle, JSON-LD;Atmosphere-Marine;CC BY 4.0;v143;2023-06-29
BODC parameter semantic model biological entity subcomponent terms;S12;Controlled vocabulary defining the terms that may be used for biological entity (component of the what theme) plant or animal parts in the BODC parameter semantic model.;http://vocab.nerc.ac.uk/collection/S12/current/;NERC, I-ADOPT;Glossary;SKOS;RDF/XML, Turtle, JSON-LD;Biosphere;CC BY 4.0;v28;2023-06-29
BODC parameter semantic model sphere names;S21;Controlled vocabulary defining the terms that may be used to describe the sphere (SWEET EarthRealm) in the BODC parameter semantic model. Part of the where theme.;http://vocab.nerc.ac.uk/collection/S21/current/;NERC, I-ADOPT;Thesaurus;SKOS;RDF/XML, Turtle, JSON-LD;All;CC BY 4.0;v12;2023-06-29
BODC parameter semantic model biological entity development stage terms;S11;Controlled vocabulary defining the terms that may be used to specify the development or life cycle stage of a biological entity (part of the 'what' theme) in the BODC parameter semantic model.;http://vocab.nerc.ac.uk/collection/S11/current/;NERC, I-ADOPT;Glossary;SKOS;RDF/XML, Turtle, JSON-LD;Biosphere;CC BY 4.0;v30;2023-06-29
BODC parameter semantic model parameter entity names;S06;Controlled vocabulary defining the terms that may be used to specify the property element of a parameter (part of the 'what' theme) in the BODC parameter semantic model.;http://vocab.nerc.ac.uk/collection/S06/current/;NERC, I-ADOPT;Thesaurus;SKOS;RDF/XML, Turtle, JSON-LD;All;CC BY 4.0;v132;2023-06-29
BODC parameter semantic model chemical substances;S27;Terms for chemicals whose quantity in a matrix is determined to generate measurements in the BODC parameter usage vocabulary semantic model. Includes elements, compounds, isotopes and mixtures.;http://vocab.nerc.ac.uk/collection/S27/current/;NERC, I-ADOPT;Thesaurus;SKOS;RDF/XML, Turtle, JSON-LD;Atmosphere-Marine;CC BY 4.0;v161;2023-06-29
BODC parameter semantic model biological entity names;S25;Terms used to describe biological entities (organisms or parts thereof) in the BODC Parameter Usage Vocabulary;http://vocab.nerc.ac.uk/collection/S25/current/;NERC, I-ADOPT, ARDC;Categorisation scheme;SKOS;RDF/XML, Turtle, JSON-LD, N-Triples;Biosphere;CC BY 4.0;160;2023-07-06
Répertoire RAMEAU: Biodiversité;Not specified;Not specified;https://data.bnf.fr/en/12144189/biodiversite;Not specified;Subject heading;SKOS;RDF/XML, Notation3, N-Triples, JSON-LD;Biosphere;Not specified;Not specified;2023-07-05
Geographic information/Geomatics;ISO/TC211;Not specified;https://def.isotc211.org/;Not specified;Ontology;OWL;OWL;Geosphere;Not specified;2.5;2023-07-03
Socio-ecological Research and Observation Ontology;SERONTO;Not specified;http://www.umweltbundesamt.at/fileadmin/site/daten/Ontologien/SERONTO/SERONTOCore20090205.owl;Not specified;Ontology;OWL;OWL;All;Not specified;Not specified;2023-07-06
Thésaurus d'Irstea (Institut National de Recherche en Sciences et Technologies pour l'Environnement et l'Agriculture);Thesaurus d'Irstea;Not specified;https://vocabulaires.irstea.fr/skosmos/thesaurus/fr/;Not specified;Thesaurus;SKOS;RDF/XML, Turtle, JSON-LD;All;Not specified;Not specified;2023-07-06
Virtual Solar-Terrestrial Observatory instrument ontology;VSTO;Not specified;https://github.com/tetherless-world/vsto-ontology/releases/tag/2.0;Not specified;Ontology;OWL;OWL;Atmosphere-Geosphere;Not specified;v2;2023-07-06
WHOS Hydrological Ontology;WHOS;Not specified;https://community.wmo.int/en/whos-hydrological-ontology;Not specified;Ontology;OWL;OWL;Biosphere;Other;Not specified;2023-07-06
AlgaeTraits;Not specified;AlgaeTraits provides standardised trait information for all European seaweeds, enabling the use of trait-based approaches over broad taxonomic, spatial and temporal scales. AlgaeTraits is a thematic subregister of the World Register of Marine Species (WoRMS) which links to AlgaeBase, the most complete database on global algal taxonomic information.;https://www.algaetraits.org/aphia.php?p=attrdefinitions;Not specified;Categorisation scheme;NONE;HTML;Biosphere;CC BY 4.0;Not specified;2023-06-28
ACTRIS Vocabulary;Not specified;Controlled vocabulary of terms used in ACTRIS;https://vocabulary.actris.nilu.no/actris_vocab/;Not specified;Thesaurus;SKOS;JSON-LD, RDF/XML, Turtle;Atmosphere;CC0 1.0;Not specified;2023-07-07
List of Darwin Core terms;dwc;Darwin Core is a vocabulary standard for transmitting information about biodiversity. This document lists all terms in namespaces currently used in the vocabulary.;https://dwc.tdwg.org/list/;Not specified;Glossary;RDFS;RDF/XML;All;CC BY 4.0;Not specified;2023-07-03
eLTER_CL;Not specified;eLTER_CL is a thesaurus for controlled lists used by the eLTER community;https://vocabs.lter-europe.net/elter_cl/en/;Not specified;Thesaurus;SKOS;RDF/XML, Turtle;All;CC0 1.0;v1.0.8;2023-06-30
Library of Congress Subject Headings: Biodiversity;LCSH: Biodiversity;Here are entered works on the totality of the variety of living organisms, the genetic differences among them, and the communities and ecosystems in which they occur.;http://id.loc.gov/authorities/subjects/sh87005569.html;Not specified;Subject heading;SKOS;RDF/XML, JSON, N-Triples;Biosphere;CC0 1.0;Not specified;2023-07-03
ICES Reference Codes Library ;Not specified;"ICES Vocabulary Server is the library of master reference lists (aka Code Types) and codes that are used in ICES managed dataflows. A Code Type defines a distinct collection of a concept, for example ISO country codes. By selecting a Code Type, you are given all the code values that are logically related to that Code Type. By clicking on one of these code values, for example ""DK"" to denote the country code for Denmark, you can see all the assigned attributes and existing relationships to other Code Types and codes in the ICES dataflows.";https://vocab.ices.dk/;Not specified;Thesaurus;NONE;CSV;All;GNU General Public License v3.0;Not specified;2023-07-03
BioTopLite2;BTL2;In LOV and in Bioportal is included the OLD version of the Ontology, namely BioTop;https://biotopontology.github.io/;Not specified;Ontology;OWL;OWL;Biosphere;CC BY 3.0;v1;2023-06-29
MarLIN Glossary;MarLIN;MarLIN provides information to support marine conservation, management and planning. Our resources are based on available scientific evidence and designed for all stakeholders, from government agencies and industry to naturalists and the public. MarLIN hosts the largest review of the effects of human activities and natural events on marine species and habitats yet undertaken.;https://www.marlin.ac.uk/glossary/view;Not specified;Categorisation scheme;NONE;HTML;Biosphere;CC BY NC SA 2.0 UK;Not specified;2023-06-29
Common geographic areas;CommonGeographicAreas;Names and identifiers of commonly-known geographic areas including oceans, continents, countries, states and provinces in North America, counties in the United States, USGS map quadrangles, and hydrologic units, nested and cross-referenced by overlap.;https://apps.usgs.gov/thesaurus/download/CommonGeographicAreas.rdf;Not specified;Gazetteer;SKOS;RDF/XML;All;Not specified;Not specified;2023-06-30
PolyTraits;Not specified;Polytraits is a database on biological traits of polychaetes (bristle worms, Polychaeta: Annelida). It covers information about morphological, behavioural, reproductive and larval characteristics of polychaete taxa which has been collected from the literature. The project was initially started as an in-house project of the Institute of Marine Biology, Biotechnology and Aquaculture of the Hellenic Centre for Marine Research. Traits were initially collected for an ecological analysis of polychaetes in Mediterranean lagoons, but since then the database has been continuously expanded to provide data for other analyses as well.;http://polytraits.lifewatchgreece.eu/;Not specified;Glossary;NONE;HTML;Biosphere;CC BY 3.0;24/09/14;2023-07-05
USGS Thesaurus;USGS-Thesaurus;SKOS for USGS Thesaurus only (lacks Use-With terms);https://apps.usgs.gov/thesaurus/;Not specified;Thesaurus;SKOS;RDF/XML;All;Not specified;Not specified;2023-07-06
Bryozoan Attribute Ontology;BRYO;The Bryozoan Attribute Ontology is to describe Lophophorata anatomy and traits. The ontology uses terms from UBERON, OBA, PATO, and BSPO to expand and build out the knowledge domain for Lophophorates. The goal is to ultimately put anatomical terms into UBERON and trait terms into OBA. The ontology will serve as an application ontology for ingesting presence/absence, qualities, and metric traits of individual specimens into knowledges base or data stores.;http://purl.obolibrary.org/obo/bryo.owl;Not specified;Ontology;OWL;OWL;Biosphere;CC0 1.0;Not specified;2023-06-29
Chronometric Age Vocabulary List of Terms;chrono;The Chronometric Age Vocabulary is a standard for transmitting information about chronometric ages - the processes and results of an assay or other analysis used to determine the age of a MaterialSample. This document lists all terms in namespaces currently used in the vocabulary.;http://rs.tdwg.org/chrono/terms/;Not specified;Glossary;SKOS;RDF/XML, Turtle, JSON-LD;All;CC BY 4.0;Not specified;2023-06-29
Coastal Wiki;Not specified;The Coastal Wiki is a public information site containing a large number of articles dealing with scientific, technological and management aspects of coastal zones. Its purpose is to share basic knowledge and information within the communities of coastal and marine scientists and practitioners. You can find information on almost any coastal topic by entering a matching term in the search box. Suggestions appear for articles with your keyword in the title. You can also get a list of all articles in which your keyword is mentioned by clicking on 'containing' under in the search box.;http://www.coastalwiki.org;Not specified;Categorisation scheme;NONE;HTML;Marine;Not specified;Not specified;2023-06-30
INSPIRE glossary;Not specified;The INSPIRE Glossary contains general terms and definitions that specify the common terminology used in the INSPIRE Directive and in the INSPIRE Implementing Rules documents. The glossary supports the use of a consistent language in different documents when referring to the terms.;http://inspire.ec.europa.eu/glossary;Not specified;Glossary;SKOS;RDF/XML;All;CC BY 4.0;v2;2023-07-03
Marine Realms Information Bank keywords;MRIB keywords;The Marine Realms Information Bank (MRIB) is a digital library designed to classify, integrate, and facilitate access to scientific information about the oceans and the adjacent parts of the atmosphere and solid Earth, as well as to the people, techniques, and organizations involved in marine science. By integrating information science and communication technology, the MRIB creates a new vision of libraries and scientific publishing and provides a dynamic environment for the global sharing of digital information. The MRIB, which is a joint effort of the U.S. Geological Survey (USGS) and the Woods Hole Oceanographic Institution (WHOI), is available on the World Wide Web at http://mrib.usgs.gov/.;https://apps.usgs.gov/thesaurus/thesaurus-full.php?thcode=61;Not specified;Thesaurus;SKOS;RDF/XML;Biosphere-Marine;Not specified;v1;2023-07-04
GSC Minimum Information about any Sequence;MIxS;The MIxS standard is designed as an overarching framework, in order to create a single entry point to all minimum information checklists from the GSC and to the environmental packages. MIxS includes the technology-specific checklists from the previous MIGS and MIMS standards, provides a way of introducing additional checklists such as MIMARKS, and also allows annotation of sample data using environmental packages. With this modular and extensible framework, both horizontal (i.e new environmental packages) and vertical extension (i.e. new checklists) development is possible and encouraged.;http://www.gensc.org/pages/standards/extensions.html;Not specified;Glossary;NONE;HTML;Biosphere;CC0;v5;2023-07-03
Modular Environmental Monitoring Ontology;MEMOn;The Modular Environmental Monitoring Ontology (MEMOn) is a domain ontology built as a promising solution for the semantic interoperability between resources (human, data, software) in environmental monitoring domain. This ontology will support data integration, data linking and semantic interoperability between heterogeneous data collected throw a variety of observation techniques, different monitoring systems and stored in diverse formats and sometimes in distinctive protocols. MEMOn currently deals with 'natural disasters', 'environmental processes', geospatial context particularly 'geospatial locations' and 'environmental features', temporal context. It also handles 'environmental materials' like soil, water, and so on. MEMOn also deals with observation and measurement, sensing information;https://github.com/MEMOntology/memon;Not specified;Ontology;OWL;OWL;Atmosphere-Geosphere-Marine;Not specified;v1.1;2023-07-04
Permafrost Thesaurus;GTN-P Thesaurus;The permafrost glossary contains a comprehensive collection of nearly 600 terms related to permafrost and related ground ice terms together with their definitions and references from which they have been derived. However, the glossary (the terms with their definitions are sorted alphabetically) has to be be transformed into a real thesaurus in the future.;https://gtnp.arcticportal.org/data/dms-ontology;Not specified;Glossary;NONE;CSV, PDF;Marine;Not specified;Not specified;2023-07-05
Data Categories for Marine Planning;MarinePlanningData;The USGS Thesaurus is structured as a hierarchy of terms because relationships between concepts are represented. For example, Sciences is broad and general concept. A more specific type of Sciences is Earth Sciences. In the USGS Thesaurus, Sciences is a broader or parent term to Earth Sciences. The USGS Thesaurus has the following top-level categories that are used to group scientific concepts.;https://apps.usgs.gov/thesaurus/;Not specified;Thesaurus;SKOS;RDF/XML;Marine;Not specified;Not specified;2023-06-30
FAIR Vocabulary;Not specified;This is the formal vocabulary (ontology) describing the FAIR principles;https://peta-pico.github.io/FAIR-nanopubs/principles/index-en.html;Not specified;Ontology;OWL;RDF/XML, JSON-LD, Turtle, N-Triples;All;CC BY 4.0;Not specified;2023-07-03
